gene	mean_log2_cpm_control	mean_log2_cpm_covid19	log2_cpm_difference	p_value	fdr_bh
ACMSD	2.7429913540553317	1.8251246862215986	-0.917866667833733	3.4188995760715e-05	0.005828962407995205
PPP1R18	3.323763795389444	5.283543964990532	1.9597801696010877	3.442113896224349e-05	0.005828962407995205
PRDX3	2.2433508947738914	4.527279646452911	2.2839287516790194	3.4489567645465376e-05	0.005828962407995205
PIGL	6.528567457508722	5.369724368702162	-1.1588430888065604	3.507960485939635e-05	0.005828962407995205
KCTD12	3.7050354621706836	6.407164588652347	2.7021291264816636	3.514774226085261e-05	0.005828962407995205
GLRX2	2.5988284836362943	3.4939470373745176	0.8951185537382234	3.551238323118197e-05	0.005828962407995205
FBXL17	8.737394806532105	8.134786489683759	-0.6026083168483467	3.5807416823445454e-05	0.005828962407995205
RPL26	2.948269243818309	5.68366739353466	2.735398149716351	3.592188157115222e-05	0.005828962407995205
PRNCR1	3.471254826142076	2.1138409718677975	-1.3574138542742786	3.592332993015488e-05	0.005828962407995205
ITIH2	2.098308012995253	0.9690268449861672	-1.129281168009086	3.6344344260276166e-05	0.005851184521269794
KPNB1	6.746182104742857	7.460757221637078	0.7145751168942205	3.7254104939227805e-05	0.005851184521269794
MOB1A	4.728851884315959	6.123719813514369	1.3948679291984103	3.728197473864525e-05	0.005851184521269794
LINC01389	2.9119774655142487	1.7271709960474277	-1.184806469466821	3.7664602943527616e-05	0.005851184521269794
ADNP-AS1	3.4001432128486333	2.4642192924175315	-0.9359239204311018	3.767578920498192e-05	0.005851184521269794
HNRNPA0	2.4311212643389752	4.9340283429210805	2.5029070785821053	3.7971242175928765e-05	0.005851184521269794
RPL35A	2.3635401639090845	5.392833193166774	3.029293029257689	3.8166667040050596e-05	0.005851184521269794
AC024382.1	4.63824053720795	2.6483601194242	-1.9898804177837497	3.821313535484114e-05	0.005851184521269794
RPL9	2.882673890984779	6.07420341735931	3.1915295263745307	3.944594384240165e-05	0.005939010399103746
SLC6A6	6.093601068936704	7.285291022139156	1.1916899532024523	3.9483353194846716e-05	0.005939010399103746
PTMS	3.7150554012141312	6.117851176862536	2.402795775648405	3.960614946741679e-05	0.005939010399103746
AP000356.2	1.2609507495146135	0.4049359236137988	-0.8560148259008147	4.003083420449185e-05	0.005955373873321209
CD1C	1.014527951958208	0.15339896988899743	-0.8611289820692105	4.0263071304705776e-05	0.005955373873321209
C4orf3	2.2313332826975483	4.7761028151693425	2.5447695324717943	4.0769612072678344e-05	0.005968052329155515
HIVEP3	8.22922040010182	7.411420773032334	-0.8177996270694861	4.0953665722321344e-05	0.005968052329155515
ATXN7L3B	3.5491134921072516	4.411426527543761	0.8623130354365096	4.143879599029759e-05	0.005968052329155515
PSMA2	3.50011557189849	4.635614839467912	1.1354992675694224	4.144671396322875e-05	0.005968052329155515
AC009145.3	1.5157659184920746	0.9077481794982015	-0.6080177389938731	4.178818307417064e-05	0.005977634635405869
CDC27	6.750842451116047	7.351535697896008	0.6006932467799606	4.234591905275114e-05	0.006017825607607634
AC006042.2	2.7847149463453915	1.433913688476041	-1.3508012578693505	4.331850050695418e-05	0.006116065951446135
GNG10	3.409825022128088	5.506889729000242	2.0970647068721537	4.3696199011919686e-05	0.006129590033007547
CDKN1B	3.368848108588383	5.020521211984607	1.6516731033962242	4.45738747075287e-05	0.00621262665234485
CFL1	3.7115954159505926	6.510921033438923	2.7993256174883308	4.5012231398883984e-05	0.006218272686791871
TSPYL1	2.528399492476732	4.173324419503268	1.6449249270265356	4.518636271504004e-05	0.006218272686791871
SMIM26	1.114050258673932	2.473718528783863	1.3596682701099307	4.606343678279603e-05	0.00625007295605923
RRAGA	1.2988779851635859	3.2536951113168286	1.9548171261532428	4.6557980062476184e-05	0.00625007295605923
RNF168	5.938581110487194	6.717374524768572	0.7787934142813784	4.6863699890114616e-05	0.00625007295605923
AC022144.1	2.20926314418124	0.8866358276335248	-1.322627316547715	4.6935650616871587e-05	0.00625007295605923
RPL38	2.9985859765712948	6.0377638780118685	3.0391779014405738	4.7063642148751504e-05	0.00625007295605923
